FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Space Needed in L1,Row Dim,tileB_cc,Reduction Dim,tileA,tileB,tileC_cc,tileA_cc,Space Remaining,tileC,m Dim,Weight Matrix Tile Size,m_tiles,n_tiles,k_tiles,SSR Config Count,Regular Loads,Total CL Tiles,oldRegPerStream,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Core : A SSR Reuse Loads,Reused / Total SSR Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
128x128x128w24-24-36,128,128,128,24,24,36,24-24-36,MNK,36864,24,6912,36,6912,6912,576,864,63136,4608,24,13824,6,6,4,1152,0,144,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,589824,17.066666666666666,98304,786432,65536,950272,170.66666666666666,18431.999999999996,102.4,819.2,136.53333333333333,136.53333333333333,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.0835978835978837,504.0,4194304.0,1763.5555555555557,85.33333333333333,682.6666666666666,56.888888888888886,824.8888888888889,15.999999999999996,1365.3333333333333,455.1111111111111,0.14814814814814814,682.6666666666666,0.08888888888888889,0.7111111111111111
128x128x128w24-24-35,128,128,128,24,24,35,24-24-35,MNK,36096,24,6720,35,6720,6720,576,840,63904,4608,24,13440,6,6,4,1152,0,144,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,589824,16.536645962732916,98304,786432,65536,950272,170.66666666666666,18432.0,99.21987577639752,793.7590062111801,132.29316770186333,132.29316770186333,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.049945775411614,504.0,4194304.0,1763.5555555555557,85.33333333333333,682.6666666666666,56.888888888888886,824.8888888888889,16.0,1365.3333333333333,455.1111111111111,0.14814814814814814,682.6666666666666,0.08612836438923395,0.6890269151138716
128x128x128w16-16-35,128,128,128,16,16,35,16-16-35,00K,22016,16,4480,35,4480,4480,256,560,77984,2048,16,8960,8,8,4,2048,0,256,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,1048576,16.53664596273292,131072,1048576,65536,1245184,256.0,36864.0,132.29316770186335,1058.3453416149068,132.29316770186335,132.29316770186335,262144.0,1835008.0,262144.0,2097152.0,2097152.0,2.362377994676131,896.0,4194304.0,992.0,64.0,512.0,32.0,608.0,18.0,1024.0,256.0,0.125,512.0,0.06459627329192547,0.5167701863354037
128x128x128w23-24-38,128,128,128,23,24,38,23-24-38,MNK,37408,24,7296,38,6992,7296,384,608,62592,4416,23,14592,6,6,4,1152,0,144,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,589824,19.248120300751882,98304,786432,65536,950272,170.66666666666669,17152.0,115.48872180451126,923.9097744360902,153.98496240601506,153.98496240601506,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.1266260890321038,504.0,4194304.0,1763.5555555555557,85.33333333333333,682.6666666666666,56.888888888888886,824.8888888888889,14.88888888888889,1365.3333333333333,455.1111111111111,0.14814814814814817,682.6666666666666,0.10025062656641602,0.8020050125313283
128x128x128w23-24-37,128,128,128,23,24,37,23-24-37,MNK,36656,24,7104,37,6808,7104,384,592,63344,4416,23,14208,6,6,4,1152,0,144,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,589824,17.907790143084263,98304,786432,65536,950272,170.66666666666669,17152.0,107.44674085850558,859.5739268680446,143.2623211446741,143.2623211446741,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.048174224644813,504.0,4194304.0,1763.5555555555557,85.33333333333333,682.6666666666666,56.888888888888886,824.8888888888889,14.88888888888889,1365.3333333333333,455.1111111111111,0.14814814814814817,682.6666666666666,0.09326974032856387,0.746157922628511
128x128x128w24-24-34,128,128,128,24,24,34,24-24-34,MNK,35328,24,6528,34,6528,6528,576,816,64672,4608,24,13056,6,6,4,1152,0,144,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,589824,16.217194570135746,98304,786432,65536,950272,170.66666666666666,18432.0,97.30316742081448,778.4253393665158,129.73755656108597,129.73755656108597,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.029663147310206,504.0,4194304.0,1763.5555555555557,85.33333333333333,682.6666666666666,56.888888888888886,824.8888888888889,16.0,1365.3333333333333,455.1111111111111,0.14814814814814814,682.6666666666666,0.08446455505279034,0.6757164404223227
128x128x128w8-8-119,128,128,128,8,8,119,8-8-119,00K,31488,8,7616,119,7616,7616,64,952,68512,512,8,15232,16,16,2,4096,0,512,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,524288,32768,262144,4194304.0,4096.0,2064384,32768.0,2097152.0,4194304,15.297852474323062,262144,2097152,32768,2392064,512.0,294912.0,244.76563958916898,1958.1251167133519,122.38281979458449,122.38281979458449,262144.0,1835008.0,262144.0,2097152.0,2097152.0,34.966519941309855,1792.0,4194304.0,504.0,64.0,512.0,8.0,584.0,72.0,1024.0,64.0,0.125,512.0,0.05975723622782446,0.47805788982259567
128x128x128w16-16-62,128,128,128,16,16,62,16-16-62,00K,35840,16,7936,62,7936,7936,256,992,64160,2048,16,15872,8,8,3,1536,0,192,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1048576,36.12903225806451,131072,1048576,49152,1228800,192.0,36864.0,289.0322580645161,2312.258064516129,289.0322580645161,289.0322580645161,262144.0,1835008.0,262144.0,2097152.0,2097152.0,5.161290322580645,672.0,4194304.0,1333.3333333333333,85.33333333333333,682.6666666666666,32.0,800.0,24.0,1365.3333333333333,256.0,0.125,682.6666666666666,0.18817204301075266,1.5053763440860213
128x128x128w16-24-27,128,128,128,16,24,27,16-24-27,0NK,23424,24,5184,27,3456,5184,384,432,76576,3072,16,10368,8,6,5,1920,0,240,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,229376,81920,98304,4194304.0,10240.0,2015232,81920.0,2097152.0,786432,25.36296296296296,98304,1048576,81920,1228800,213.33333333333331,27306.666666666668,152.17777777777778,1623.2296296296295,202.90370370370368,202.90370370370368,262144.0,1835008.0,262144.0,2097152.0,2097152.0,2.415520282186949,840.0,4194304.0,1049.6,51.2,546.1333333333333,42.666666666666664,640.0,14.222222222222223,955.7333333333333,341.3333333333333,0.1111111111111111,409.6,0.07925925925925927,0.845432098765432
128x128x128w8-8-118,128,128,128,8,8,118,8-8-118,00K,31232,8,7552,118,7552,7552,64,944,68768,512,8,15104,16,16,2,4096,0,512,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,524288,32768,262144,4194304.0,4096.0,2064384,32768.0,2097152.0,4194304,13.884745762711866,262144,2097152,32768,2392064,512.0,294912.0,222.15593220338985,1777.2474576271188,111.07796610169493,111.07796610169493,262144.0,1835008.0,262144.0,2097152.0,2097152.0,31.736561743341404,1792.0,4194304.0,504.0,64.0,512.0,8.0,584.0,72.0,1024.0,64.0,0.125,512.0,0.054237288135593226,0.4338983050847458
