FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Space Needed in L1,Row Dim,tileB_cc,Reduction Dim,tileA,tileB,tileC_cc,tileA_cc,Space Remaining,tileC,m Dim,Weight Matrix Tile Size,m_tiles,n_tiles,k_tiles,SSR Config Count,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
128x128x128w32-8-32,128,128,128,32,8,32,32-8-32,000,24576,8,2048,32,8192,2048,256,1024,75424,2048,32,4096,4,16,4,2048,0,256,4,1,32,8,4,0.0625,5,1,32,8,5,327680,65536,262144,4194304.0,8192.0,2031616,65536.0,2097152.0,1048576,16.0,262144,524288,65536,851968,1024.0,24576.0,256.0,512.0,128.0,128.0,262144.0,1835008.0,262144.0,2097152.0,2097152.0,896.0,2.2857142857142856,4194304.0,992.0,128.0,256.0,32.0,416.0,12.0,1280.0,256.0,0.5,1024.0,0.125,0.25
128x128x128w29-16-35,128,128,128,29,16,35,29-16-35,M0K,32624,16,4480,35,8120,4480,384,840,67376,3712,29,8960,5,8,4,1280,0,160,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,212992,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,655360,16.53664596273292,131072,655360,65536,851968,256.0,17920.0,132.29316770186335,661.4658385093168,132.29316770186335,132.29316770186335,262144.0,1835008.0,262144.0,2097152.0,2097152.0,560.0,1.1073646850044365,4194304.0,1587.2,102.4,512.0,51.2,665.6,14.0,1331.2,409.6,0.2,819.2,0.10335403726708074,0.5167701863354037
128x128x128w29-16-34,128,128,128,29,16,34,29-16-34,M0K,31904,16,4352,34,7888,4352,384,816,68096,3712,29,8704,5,8,4,1280,0,160,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,212992,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,655360,16.217194570135746,131072,655360,65536,851968,256.0,17920.0,129.73755656108597,648.6877828054298,129.73755656108597,129.73755656108597,262144.0,1835008.0,262144.0,2097152.0,2097152.0,560.0,1.085972850678733,4194304.0,1587.2,102.4,512.0,51.2,665.6,14.0,1331.2,409.6,0.2,819.2,0.10135746606334842,0.5067873303167421
128x128x128w28-16-35,128,128,128,28,16,35,28-16-35,M0K,31808,16,4480,35,7840,4480,384,840,68192,3584,28,8960,5,8,4,1280,0,160,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,212992,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,655360,16.536645962732923,131072,655360,65536,851968,256.0,16213.333333333332,132.29316770186338,661.4658385093168,132.29316770186338,132.29316770186338,262144.0,1835008.0,262144.0,2097152.0,2097152.0,560.0,0.9843241644483881,4194304.0,1587.2,102.4,512.0,51.2,665.6,12.666666666666666,1331.2,409.6,0.2,819.2,0.10335403726708077,0.5167701863354037
128x128x128w34-16-30,128,128,128,34,16,30,34-16-30,M0K,32704,16,3840,30,8160,3840,512,960,67296,4352,34,7680,4,8,5,1280,0,160,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,196608,81920,131072,4194304.0,10240.0,2015232,81920.0,2097152.0,524288,33.06666666666667,131072,524288,81920,737280,320.0,10444.8,264.53333333333336,1058.1333333333332,264.53333333333336,264.53333333333336,262144.0,1835008.0,262144.0,2097152.0,2097152.0,560.0,1.2104761904761905,4194304.0,1574.4,102.4,409.6,64.0,576.0,8.16,1228.8,512.0,0.25,819.2,0.2066666666666667,0.8266666666666665
128x128x128w28-16-36,128,128,128,28,16,36,28-16-36,M0K,32512,16,4608,36,8064,4608,384,864,67488,3584,28,9216,5,8,4,1280,0,160,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,212992,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,655360,17.066666666666666,131072,655360,65536,851968,256.0,16213.333333333334,136.53333333333333,682.6666666666667,136.53333333333333,136.53333333333333,262144.0,1835008.0,262144.0,2097152.0,2097152.0,560.0,1.0158730158730158,4194304.0,1587.2,102.4,512.0,51.2,665.6,12.666666666666668,1331.2,409.6,0.2,819.2,0.10666666666666666,0.5333333333333334
128x128x128w34-8-30,128,128,128,34,8,30,34-8-30,M0K,24512,8,1920,30,8160,1920,256,960,75488,2176,34,3840,4,16,5,2560,0,320,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,327680,81920,262144,4194304.0,10240.0,2015232,81920.0,2097152.0,1048576,33.06666666666667,262144,524288,81920,868352,1280.0,24985.6,529.0666666666667,1058.1333333333332,264.53333333333336,264.53333333333336,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1120.0,4.841904761904762,4194304.0,787.2,102.4,204.8,32.0,339.2,9.76,1024.0,256.0,0.5,819.2,0.2066666666666667,0.4133333333333333
128x128x128w33-8-31,128,128,128,33,8,31,33-8-31,M0K,24560,8,1984,31,8184,1984,256,992,75440,2112,33,3968,4,16,5,2560,0,320,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,327680,81920,262144,4194304.0,10240.0,2015232,81920.0,2097152.0,1048576,48.516129032258064,262144,524288,81920,868352,1280.0,24780.800000000003,776.258064516129,1552.516129032258,388.1290322580645,388.1290322580645,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1120.0,7.017511520737327,4194304.0,787.2,102.4,204.8,32.0,339.2,9.680000000000001,1024.0,256.0,0.5,819.2,0.3032258064516129,0.6064516129032258
128x128x128w33-8-30,128,128,128,33,8,30,33-8-30,M0K,23904,8,1920,30,7920,1920,256,960,76096,2112,33,3840,4,16,5,2560,0,320,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,327680,81920,262144,4194304.0,10240.0,2015232,81920.0,2097152.0,1048576,33.06666666666667,262144,524288,81920,868352,1280.0,24780.8,529.0666666666667,1058.1333333333332,264.53333333333336,264.53333333333336,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1120.0,4.782857142857143,4194304.0,787.2,102.4,204.8,32.0,339.2,9.68,1024.0,256.0,0.5,819.2,0.2066666666666667,0.4133333333333333
128x128x128w32-8-31,128,128,128,32,8,31,32-8-31,00K,23936,8,1984,31,7936,1984,256,992,76064,2048,32,3968,4,16,5,2560,0,320,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,327680,81920,262144,4194304.0,10240.0,2015232,81920.0,2097152.0,1048576,48.516129032258064,262144,524288,81920,868352,1280.0,24576.0,776.258064516129,1552.516129032258,388.1290322580645,388.1290322580645,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1120.0,6.9308755760368665,4194304.0,787.2,102.4,204.8,32.0,339.2,9.6,1024.0,256.0,0.5,819.2,0.3032258064516129,0.6064516129032258
